prompt_id,cond_pair,emb_sim,mean_score
B3,DeepSeek-V3.2-ZH vs GPT-5.1-EN,0.7694464921951294,8.0
B3,DeepSeek-V3.2-ZH vs GPT-5.1-ZH,0.7751660346984863,8.0
B3,GPT-5.1-EN vs GPT-5.1-ZH,0.7409741282463074,11.0
C1,DeepSeek-V3.2-EN vs DeepSeek-V3.2-ZH,0.837006688117981,7.0
C1,DeepSeek-V3.2-EN vs GPT-5.1-EN,0.8660321235656738,8.0
C1,DeepSeek-V3.2-EN vs GPT-5.1-ZH,0.8313537836074829,8.0
C1,DeepSeek-V3.2-ZH vs GPT-5.1-EN,0.7873989343643188,7.0
C1,DeepSeek-V3.2-ZH vs GPT-5.1-ZH,0.9185015559196472,7.0
C1,GPT-5.1-EN vs GPT-5.1-ZH,0.809139609336853,8.0
C2,DeepSeek-V3.2-EN vs DeepSeek-V3.2-ZH,0.7714754343032837,5.5
C2,DeepSeek-V3.2-EN vs GPT-5.1-EN,0.855920672416687,8.0
C2,DeepSeek-V3.2-EN vs GPT-5.1-ZH,0.7019258737564087,8.0
C2,DeepSeek-V3.2-ZH vs GPT-5.1-EN,0.8109508752822876,8.5
C2,DeepSeek-V3.2-ZH vs GPT-5.1-ZH,0.8265190720558167,8.5
C2,GPT-5.1-EN vs GPT-5.1-ZH,0.7963616847991943,11.0
D1,DeepSeek-V3.2-EN vs DeepSeek-V3.2-ZH,0.7497205138206482,8.0
D1,DeepSeek-V3.2-EN vs GPT-5.1-EN,0.7917171716690063,11.0
D1,DeepSeek-V3.2-EN vs GPT-5.1-ZH,0.7265411615371704,11.0
D1,DeepSeek-V3.2-ZH vs GPT-5.1-EN,0.7098801136016846,9.0
D1,DeepSeek-V3.2-ZH vs GPT-5.1-ZH,0.8250125646591187,9.0
D1,GPT-5.1-EN vs GPT-5.1-ZH,0.6884832978248596,12.0
D2,DeepSeek-V3.2-EN vs DeepSeek-V3.2-ZH,0.6488521099090576,4.0
D2,DeepSeek-V3.2-EN vs GPT-5.1-EN,0.8171001076698303,4.0
D2,DeepSeek-V3.2-EN vs GPT-5.1-ZH,0.6835312247276306,5.0
D2,DeepSeek-V3.2-ZH vs GPT-5.1-EN,0.637042760848999,4.0
D2,DeepSeek-V3.2-ZH vs GPT-5.1-ZH,0.8245208263397217,5.0
D2,GPT-5.1-EN vs GPT-5.1-ZH,0.7163255214691162,5.0
D3,DeepSeek-V3.2-EN vs DeepSeek-V3.2-ZH,0.6771801114082336,6.0
D3,DeepSeek-V3.2-EN vs GPT-5.1-EN,0.9367679953575134,4.5
D3,DeepSeek-V3.2-EN vs GPT-5.1-ZH,0.7175350189208984,4.5
D3,DeepSeek-V3.2-ZH vs GPT-5.1-EN,0.6897211074829102,5.5
D3,DeepSeek-V3.2-ZH vs GPT-5.1-ZH,0.8732540607452393,5.5
D3,GPT-5.1-EN vs GPT-5.1-ZH,0.7508683800697327,4.0
