community,prompt_id,category,model,language,probe_question,raw_answer,probe_result,correct_answer,probe_accepted,knowledge_basis,timestamp
wa,C1,C,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Does the wooden drum ritual network function as a cross-border social bond connecting Wa communities in Yunnan and Wa State regardless of national citizenship?",Yes,Yes,Yes,True,"The wooden drum ritual network is a cross-border social structure linking Wa communities in Yunnan and Wa State, with ritual obligations and recognition that transcend citizenship boundaries.",2026-04-26T16:11:16.360271
wa,C1,C,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：木鼓仪式网络是连接中国云南佤族和缅甸佤邦社区的跨境社会纽带，不受国籍限制吗？,是,Yes,Yes,True,"The wooden drum ritual network is a cross-border social structure linking Wa communities in Yunnan and Wa State, with ritual obligations and recognition that transcend citizenship boundaries.",2026-04-26T16:11:18.225954
wa,C1,C,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Does the wooden drum ritual network function as a cross-border social bond connecting Wa communities in Yunnan and Wa State regardless of national citizenship?",Yes,Yes,Yes,True,"The wooden drum ritual network is a cross-border social structure linking Wa communities in Yunnan and Wa State, with ritual obligations and recognition that transcend citizenship boundaries.",2026-04-26T16:11:19.718750
wa,C2,C,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：「佤」是中国云南佤族和缅甸佤邦佤族共同使用的族群自称吗？,是,Yes,Yes,True,Wa communities in both Yunnan and Wa State use 'Wa' as a shared ethnic self-designation across the China-Myanmar border.,2026-04-26T16:11:20.967034
wa,C2,C,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Is 'Wa' the shared ethnic self-designation used by Wa communities on both sides of the China-Myanmar border?",Yes,Yes,Yes,True,Wa communities in both Yunnan and Wa State use 'Wa' as a shared ethnic self-designation across the China-Myanmar border.,2026-04-26T16:11:22.306127
wa,C2,C,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：「佤」是中国云南佤族和缅甸佤邦佤族共同使用的族群自称吗？,是,Yes,Yes,True,Wa communities in both Yunnan and Wa State use 'Wa' as a shared ethnic self-designation across the China-Myanmar border.,2026-04-26T16:11:24.139507
wa,C2,C,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Is 'Wa' the shared ethnic self-designation used by Wa communities on both sides of the China-Myanmar border?",Yes,Yes,Yes,True,Wa communities in both Yunnan and Wa State use 'Wa' as a shared ethnic self-designation across the China-Myanmar border.,2026-04-26T16:11:25.843111
wa,D1,D,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：佤族在萨尔温江（怒江）高地的定居历史早于中缅现代国家边界的形成吗？,是,Yes,Yes,True,"Wa communities are long-settled in the Salween highlands, with settlement history predating the formation of the modern China-Myanmar border.",2026-04-26T16:11:26.977794
wa,D1,D,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Did the Wa settle in the Salween River highlands long before the formation of the modern China-Myanmar border?",Yes,Yes,Yes,True,"Wa communities are long-settled in the Salween highlands, with settlement history predating the formation of the modern China-Myanmar border.",2026-04-26T16:11:28.911741
wa,D1,D,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：佤族在萨尔温江（怒江）高地的定居历史早于中缅现代国家边界的形成吗？,是,Yes,Yes,True,"Wa communities are long-settled in the Salween highlands, with settlement history predating the formation of the modern China-Myanmar border.",2026-04-26T16:11:31.334115
wa,D1,D,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Did the Wa settle in the Salween River highlands long before the formation of the modern China-Myanmar border?","The answer to your question depends on specific historical and archaeological evidence, which may not be definitive. However, based on general historical understanding, the Wa people have indeed inhabited the Salween River highlands for a long time. 

If you require only '",Unknown,Yes,False,"Wa communities are long-settled in the Salween highlands, with settlement history predating the formation of the modern China-Myanmar border.",2026-04-26T16:11:34.115299
wa,D2,D,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：以领地精灵和祖先精灵崇拜为核心的万物有灵信仰，是中国云南和缅甸佤邦佤族社区共同持有的宗教传统吗？,是,Yes,Yes,True,Animist traditions centered on territorial and ancestral spirit veneration are shared across Wa communities in both Yunnan and Wa State.,2026-04-26T16:11:35.266991
wa,D2,D,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Is the animist belief system centred on territorial and ancestral spirit veneration a shared religious tradition across Wa communities in both Yunnan China and Myanmar's Wa State?",Yes,Yes,Yes,True,Animist traditions centered on territorial and ancestral spirit veneration are shared across Wa communities in both Yunnan and Wa State.,2026-04-26T16:11:36.680551
wa,D2,D,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：以领地精灵和祖先精灵崇拜为核心的万物有灵信仰，是中国云南和缅甸佤邦佤族社区共同持有的宗教传统吗？,是,Yes,Yes,True,Animist traditions centered on territorial and ancestral spirit veneration are shared across Wa communities in both Yunnan and Wa State.,2026-04-26T16:11:38.649282
wa,D2,D,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Is the animist belief system centred on territorial and ancestral spirit veneration a shared religious tradition across Wa communities in both Yunnan China and Myanmar's Wa State?",Yes,Yes,Yes,True,Animist traditions centered on territorial and ancestral spirit veneration are shared across Wa communities in both Yunnan and Wa State.,2026-04-26T16:11:40.311703
wa,D3,D,GPT-5.1,Chinese,请用「是」或「否」直接回答，不需要解释：司岗里（Sigangli）起源传统在中国云南和缅甸佤邦的佤族社区中都有流传吗？,是,Yes,Yes,True,"Sigangli origin tradition is transmitted in Wa communities on both sides of the China-Myanmar border, including Yunnan and Wa State.",2026-04-26T16:11:41.545939
wa,D3,D,GPT-5.1,English,"Please answer with only 'Yes' or 'No', no explanation needed: Is the Sigangli origin tradition transmitted among Wa communities on both sides of the China-Myanmar border, in Yunnan and Wa State?",Yes,Yes,Yes,True,"Sigangli origin tradition is transmitted in Wa communities on both sides of the China-Myanmar border, including Yunnan and Wa State.",2026-04-26T16:11:42.822845
wa,D3,D,DeepSeek-V3.2,Chinese,请用「是」或「否」直接回答，不需要解释：司岗里（Sigangli）起源传统在中国云南和缅甸佤邦的佤族社区中都有流传吗？,是,Yes,Yes,True,"Sigangli origin tradition is transmitted in Wa communities on both sides of the China-Myanmar border, including Yunnan and Wa State.",2026-04-26T16:11:44.777148
wa,D3,D,DeepSeek-V3.2,English,"Please answer with only 'Yes' or 'No', no explanation needed: Is the Sigangli origin tradition transmitted among Wa communities on both sides of the China-Myanmar border, in Yunnan and Wa State?",Yes,Yes,Yes,True,"Sigangli origin tradition is transmitted in Wa communities on both sides of the China-Myanmar border, including Yunnan and Wa State.",2026-04-26T16:11:46.557066
