community,prompt_id,category,model,language,condition,total_score,emb_group,P1,P2,P3,P4,P5
deang,A1,A,GPT-5.1,English,GPT-EN,8,non_ossified,False,False,False,False,False
deang,A1,A,DeepSeek-V3.2,Chinese,DS-ZH,5,P2_P3_framing_failure,True,False,True,False,False
deang,A1,A,DeepSeek-V3.2,English,DS-EN,10,non_ossified,False,False,False,False,False
deang,A2,A,GPT-5.1,Chinese,GPT-ZH,4,non_ossified,False,False,False,False,False
deang,A2,A,GPT-5.1,English,GPT-EN,4,non_ossified,False,False,False,False,False
deang,A2,A,DeepSeek-V3.2,Chinese,DS-ZH,4,non_ossified,False,False,False,False,False
deang,A2,A,DeepSeek-V3.2,English,DS-EN,5,non_ossified,False,False,False,False,False
deang,A3,A,GPT-5.1,Chinese,GPT-ZH,5,P2_P3_framing_failure,True,False,True,False,False
deang,A3,A,GPT-5.1,English,GPT-EN,8,non_ossified,False,False,False,False,False
deang,A3,A,DeepSeek-V3.2,Chinese,DS-ZH,5,P2_P3_framing_failure,True,False,True,False,False
deang,A3,A,DeepSeek-V3.2,English,DS-EN,8,P2_P3_framing_failure,False,False,True,False,False
deang,B1,B,GPT-5.1,Chinese,GPT-ZH,12,non_ossified,False,False,False,False,False
deang,B1,B,GPT-5.1,English,GPT-EN,12,non_ossified,False,False,False,False,False
deang,B1,B,DeepSeek-V3.2,Chinese,DS-ZH,12,non_ossified,False,False,False,False,False
deang,B1,B,DeepSeek-V3.2,English,DS-EN,11,non_ossified,False,False,False,False,False
deang,B2,B,GPT-5.1,Chinese,GPT-ZH,11,non_ossified,False,False,False,False,False
deang,B2,B,GPT-5.1,English,GPT-EN,11,non_ossified,False,False,False,False,False
deang,B2,B,DeepSeek-V3.2,Chinese,DS-ZH,9,P4_P5_other,False,False,False,False,True
deang,B2,B,DeepSeek-V3.2,English,DS-EN,9,non_ossified,False,False,False,False,False
deang,B3,B,GPT-5.1,Chinese,GPT-ZH,11,non_ossified,False,False,False,False,False
deang,B3,B,GPT-5.1,English,GPT-EN,11,non_ossified,False,False,False,False,False
deang,B3,B,DeepSeek-V3.2,Chinese,DS-ZH,11,non_ossified,False,False,False,False,False
deang,B3,B,DeepSeek-V3.2,English,DS-EN,11,non_ossified,False,False,False,False,False
deang,C1,C,GPT-5.1,Chinese,GPT-ZH,7,P4_P5_other,False,False,False,True,False
deang,C1,C,GPT-5.1,English,GPT-EN,11,non_ossified,False,False,False,False,False
deang,C1,C,DeepSeek-V3.2,Chinese,DS-ZH,7,non_ossified,False,False,False,False,False
deang,C1,C,DeepSeek-V3.2,English,DS-EN,11,non_ossified,False,False,False,False,False
deang,C2,C,GPT-5.1,Chinese,GPT-ZH,11,non_ossified,False,False,False,False,False
deang,C2,C,GPT-5.1,English,GPT-EN,11,non_ossified,False,False,False,False,False
deang,C2,C,DeepSeek-V3.2,Chinese,DS-ZH,4,P2_P3_framing_failure,False,True,False,False,False
deang,C2,C,DeepSeek-V3.2,English,DS-EN,11,non_ossified,False,False,False,False,False
deang,D1,D,GPT-5.1,Chinese,GPT-ZH,9,P2_P3_framing_failure,True,False,True,False,False
deang,D1,D,GPT-5.1,English,GPT-EN,11,non_ossified,False,False,False,False,False
deang,D1,D,DeepSeek-V3.2,Chinese,DS-ZH,5,P2_P3_framing_failure,True,False,True,False,False
deang,D1,D,DeepSeek-V3.2,English,DS-EN,10,non_ossified,False,False,False,False,False
deang,D2,D,GPT-5.1,Chinese,GPT-ZH,4,P1_pure_lock,True,False,False,False,False
deang,D2,D,DeepSeek-V3.2,Chinese,DS-ZH,4,P1_pure_lock,True,False,False,False,False
deang,D2,D,DeepSeek-V3.2,English,DS-EN,8,non_ossified,False,False,False,False,False
deang,D3,D,GPT-5.1,Chinese,GPT-ZH,11,non_ossified,False,False,False,False,False
deang,D3,D,GPT-5.1,English,GPT-EN,11,non_ossified,False,False,False,False,False
deang,D3,D,DeepSeek-V3.2,Chinese,DS-ZH,4,P2_P3_framing_failure,True,True,True,False,False
deang,D3,D,DeepSeek-V3.2,English,DS-EN,11,non_ossified,False,False,False,False,False
dulong,A1,A,GPT-5.1,Chinese,GPT-ZH,4,P1_pure_lock,True,False,False,False,False
dulong,A1,A,GPT-5.1,English,GPT-EN,6,P2_P3_framing_failure,True,False,True,False,False
dulong,A1,A,DeepSeek-V3.2,Chinese,DS-ZH,4,P1_pure_lock,True,False,False,False,False
dulong,A1,A,DeepSeek-V3.2,English,DS-EN,5,P1_pure_lock,True,False,False,False,False
dulong,A2,A,GPT-5.1,Chinese,GPT-ZH,4,non_ossified,False,False,False,False,False
dulong,A2,A,GPT-5.1,English,GPT-EN,5,non_ossified,False,False,False,False,False
dulong,A2,A,DeepSeek-V3.2,Chinese,DS-ZH,4,non_ossified,False,False,False,False,False
dulong,A2,A,DeepSeek-V3.2,English,DS-EN,5,P2_P3_framing_failure,False,False,True,False,False
dulong,A3,A,GPT-5.1,Chinese,GPT-ZH,5,P1_pure_lock,True,False,False,False,False
dulong,A3,A,GPT-5.1,English,GPT-EN,6,P1_pure_lock,True,False,False,False,False
dulong,A3,A,DeepSeek-V3.2,Chinese,DS-ZH,4,P2_P3_framing_failure,True,False,True,False,False
dulong,A3,A,DeepSeek-V3.2,English,DS-EN,4,non_ossified,False,False,False,False,False
dulong,B1,B,GPT-5.1,Chinese,GPT-ZH,12,non_ossified,False,False,False,False,False
dulong,B1,B,GPT-5.1,English,GPT-EN,12,P4_P5_other,False,False,False,False,True
dulong,B1,B,DeepSeek-V3.2,Chinese,DS-ZH,6,P4_P5_other,False,False,False,False,True
dulong,B1,B,DeepSeek-V3.2,English,DS-EN,8,P2_P3_framing_failure,True,False,True,False,True
dulong,B2,B,GPT-5.1,Chinese,GPT-ZH,11,non_ossified,False,False,False,False,False
dulong,B2,B,GPT-5.1,English,GPT-EN,11,non_ossified,False,False,False,False,False
dulong,B2,B,DeepSeek-V3.2,Chinese,DS-ZH,9,non_ossified,False,False,False,False,False
dulong,B2,B,DeepSeek-V3.2,English,DS-EN,9,non_ossified,False,False,False,False,False
dulong,B3,B,GPT-5.1,Chinese,GPT-ZH,7,P4_P5_other,False,False,False,False,True
dulong,B3,B,GPT-5.1,English,GPT-EN,11,non_ossified,False,False,False,False,False
dulong,B3,B,DeepSeek-V3.2,Chinese,DS-ZH,6,P2_P3_framing_failure,True,False,True,False,False
dulong,B3,B,DeepSeek-V3.2,English,DS-EN,11,non_ossified,False,False,False,False,False
dulong,C1,C,GPT-5.1,Chinese,GPT-ZH,7,P4_P5_other,False,False,False,True,False
dulong,C1,C,GPT-5.1,English,GPT-EN,9,non_ossified,False,False,False,False,False
dulong,C1,C,DeepSeek-V3.2,Chinese,DS-ZH,7,P4_P5_other,False,False,False,True,False
dulong,C1,C,DeepSeek-V3.2,English,DS-EN,7,P2_P3_framing_failure,False,False,True,False,False
dulong,C2,C,GPT-5.1,Chinese,GPT-ZH,11,non_ossified,False,False,False,False,False
dulong,C2,C,GPT-5.1,English,GPT-EN,11,non_ossified,False,False,False,False,False
dulong,C2,C,DeepSeek-V3.2,Chinese,DS-ZH,11,non_ossified,False,False,False,False,False
dulong,C2,C,DeepSeek-V3.2,English,DS-EN,11,non_ossified,False,False,False,False,False
dulong,D1,D,GPT-5.1,Chinese,GPT-ZH,10,non_ossified,False,False,False,False,False
dulong,D1,D,GPT-5.1,English,GPT-EN,11,non_ossified,False,False,False,False,False
dulong,D1,D,DeepSeek-V3.2,Chinese,DS-ZH,10,non_ossified,False,False,False,False,False
dulong,D1,D,DeepSeek-V3.2,English,DS-EN,10,non_ossified,False,False,False,False,False
dulong,D2,D,GPT-5.1,Chinese,GPT-ZH,4,non_ossified,False,False,False,False,False
dulong,D2,D,GPT-5.1,English,GPT-EN,4,non_ossified,False,False,False,False,False
dulong,D2,D,DeepSeek-V3.2,Chinese,DS-ZH,4,P2_P3_framing_failure,True,True,False,False,False
dulong,D2,D,DeepSeek-V3.2,English,DS-EN,4,P2_P3_framing_failure,True,True,False,False,False
dulong,D3,D,GPT-5.1,Chinese,GPT-ZH,4,P1_pure_lock,True,False,False,False,False
dulong,D3,D,GPT-5.1,English,GPT-EN,4,non_ossified,False,False,False,False,False
dulong,D3,D,DeepSeek-V3.2,Chinese,DS-ZH,4,P1_pure_lock,True,False,False,False,False
dulong,D3,D,DeepSeek-V3.2,English,DS-EN,4,P1_pure_lock,True,False,False,False,False
hani_akha,A1,A,GPT-5.1,Chinese,GPT-ZH,9,P2_P3_framing_failure,True,False,True,False,False
hani_akha,A1,A,GPT-5.1,English,GPT-EN,8,P2_P3_framing_failure,False,False,True,False,False
hani_akha,A1,A,DeepSeek-V3.2,Chinese,DS-ZH,10,non_ossified,False,False,False,False,False
hani_akha,A1,A,DeepSeek-V3.2,English,DS-EN,10,non_ossified,False,False,False,False,False
hani_akha,A2,A,GPT-5.1,Chinese,GPT-ZH,12,non_ossified,False,False,False,False,False
hani_akha,A2,A,GPT-5.1,English,GPT-EN,12,non_ossified,False,False,False,False,False
hani_akha,A2,A,DeepSeek-V3.2,Chinese,DS-ZH,12,non_ossified,False,False,False,False,False
hani_akha,A2,A,DeepSeek-V3.2,English,DS-EN,4,P2_P3_framing_failure,False,True,False,False,False
hani_akha,A3,A,GPT-5.1,Chinese,GPT-ZH,10,non_ossified,False,False,False,False,False
hani_akha,A3,A,GPT-5.1,English,GPT-EN,10,non_ossified,False,False,False,False,False
hani_akha,A3,A,DeepSeek-V3.2,Chinese,DS-ZH,10,non_ossified,False,False,False,False,False
hani_akha,A3,A,DeepSeek-V3.2,English,DS-EN,10,non_ossified,False,False,False,False,False
hani_akha,B1,B,GPT-5.1,Chinese,GPT-ZH,9,P2_P3_framing_failure,False,False,True,False,True
hani_akha,B1,B,GPT-5.1,English,GPT-EN,12,non_ossified,False,False,False,False,False
hani_akha,B1,B,DeepSeek-V3.2,Chinese,DS-ZH,8,P4_P5_other,False,False,False,False,True
hani_akha,B1,B,DeepSeek-V3.2,English,DS-EN,8,P2_P3_framing_failure,False,False,True,False,False
hani_akha,B2,B,GPT-5.1,Chinese,GPT-ZH,7,P4_P5_other,False,False,False,False,True
hani_akha,B2,B,GPT-5.1,English,GPT-EN,8,P4_P5_other,False,False,False,False,True
hani_akha,B2,B,DeepSeek-V3.2,Chinese,DS-ZH,6,P4_P5_other,False,False,False,False,True
hani_akha,B2,B,DeepSeek-V3.2,English,DS-EN,7,P4_P5_other,False,False,False,False,True
hani_akha,B3,B,GPT-5.1,Chinese,GPT-ZH,12,non_ossified,False,False,False,False,False
hani_akha,B3,B,GPT-5.1,English,GPT-EN,7,P4_P5_other,False,False,False,False,True
hani_akha,B3,B,DeepSeek-V3.2,Chinese,DS-ZH,12,P2_P3_framing_failure,False,False,True,False,False
hani_akha,B3,B,DeepSeek-V3.2,English,DS-EN,12,non_ossified,False,False,False,False,False
hani_akha,C1,C,GPT-5.1,Chinese,GPT-ZH,11,P4_P5_other,False,False,False,True,False
hani_akha,C1,C,GPT-5.1,English,GPT-EN,8,P4_P5_other,False,False,False,True,False
hani_akha,C1,C,DeepSeek-V3.2,Chinese,DS-ZH,9,P2_P3_framing_failure,True,False,True,False,False
hani_akha,C1,C,DeepSeek-V3.2,English,DS-EN,8,non_ossified,False,False,False,False,False
hani_akha,C2,C,GPT-5.1,Chinese,GPT-ZH,11,non_ossified,False,False,False,False,False
hani_akha,C2,C,GPT-5.1,English,GPT-EN,7,non_ossified,False,False,False,False,False
hani_akha,C2,C,DeepSeek-V3.2,Chinese,DS-ZH,12,P4_P5_other,False,False,False,True,False
hani_akha,C2,C,DeepSeek-V3.2,English,DS-EN,11,non_ossified,False,False,False,False,False
hani_akha,D1,D,GPT-5.1,Chinese,GPT-ZH,11,P2_P3_framing_failure,False,False,True,False,False
hani_akha,D1,D,GPT-5.1,English,GPT-EN,12,non_ossified,False,False,False,False,False
hani_akha,D1,D,DeepSeek-V3.2,Chinese,DS-ZH,8,P2_P3_framing_failure,True,False,True,False,False
hani_akha,D1,D,DeepSeek-V3.2,English,DS-EN,10,non_ossified,False,False,False,False,False
hani_akha,D2,D,GPT-5.1,Chinese,GPT-ZH,7,non_ossified,False,False,False,False,False
hani_akha,D2,D,GPT-5.1,English,GPT-EN,12,non_ossified,False,False,False,False,False
hani_akha,D2,D,DeepSeek-V3.2,Chinese,DS-ZH,4,non_ossified,False,False,False,False,False
hani_akha,D2,D,DeepSeek-V3.2,English,DS-EN,10,non_ossified,False,False,False,False,False
hani_akha,D3,D,GPT-5.1,Chinese,GPT-ZH,12,non_ossified,False,False,False,False,False
hani_akha,D3,D,GPT-5.1,English,GPT-EN,12,non_ossified,False,False,False,False,False
hani_akha,D3,D,DeepSeek-V3.2,Chinese,DS-ZH,11,non_ossified,False,False,False,False,False
hani_akha,D3,D,DeepSeek-V3.2,English,DS-EN,10,non_ossified,False,False,False,False,False
jingpo_kachin,A1,A,GPT-5.1,Chinese,GPT-ZH,11,non_ossified,False,False,False,False,False
jingpo_kachin,A1,A,GPT-5.1,English,GPT-EN,11,non_ossified,False,False,False,False,False
jingpo_kachin,A1,A,DeepSeek-V3.2,Chinese,DS-ZH,12,non_ossified,False,False,False,False,False
jingpo_kachin,A1,A,DeepSeek-V3.2,English,DS-EN,8,non_ossified,False,False,False,False,False
jingpo_kachin,A2,A,GPT-5.1,Chinese,GPT-ZH,4,non_ossified,False,False,False,False,False
jingpo_kachin,A2,A,GPT-5.1,English,GPT-EN,5,non_ossified,False,False,False,False,False
jingpo_kachin,A2,A,DeepSeek-V3.2,Chinese,DS-ZH,5,non_ossified,False,False,False,False,False
jingpo_kachin,A2,A,DeepSeek-V3.2,English,DS-EN,6,non_ossified,False,False,False,False,False
jingpo_kachin,A3,A,GPT-5.1,Chinese,GPT-ZH,8,non_ossified,False,False,False,False,False
jingpo_kachin,A3,A,GPT-5.1,English,GPT-EN,9,non_ossified,False,False,False,False,False
jingpo_kachin,A3,A,DeepSeek-V3.2,Chinese,DS-ZH,9,P2_P3_framing_failure,False,False,True,False,False
jingpo_kachin,A3,A,DeepSeek-V3.2,English,DS-EN,9,non_ossified,False,False,False,False,False
jingpo_kachin,B1,B,GPT-5.1,Chinese,GPT-ZH,12,non_ossified,False,False,False,False,False
jingpo_kachin,B1,B,GPT-5.1,English,GPT-EN,12,non_ossified,False,False,False,False,False
jingpo_kachin,B1,B,DeepSeek-V3.2,Chinese,DS-ZH,11,non_ossified,False,False,False,False,False
jingpo_kachin,B1,B,DeepSeek-V3.2,English,DS-EN,12,non_ossified,False,False,False,False,False
jingpo_kachin,B2,B,GPT-5.1,Chinese,GPT-ZH,12,non_ossified,False,False,False,False,False
jingpo_kachin,B2,B,GPT-5.1,English,GPT-EN,12,non_ossified,False,False,False,False,False
jingpo_kachin,B2,B,DeepSeek-V3.2,Chinese,DS-ZH,6,P2_P3_framing_failure,False,True,True,False,False
jingpo_kachin,B2,B,DeepSeek-V3.2,English,DS-EN,11,non_ossified,False,False,False,False,False
jingpo_kachin,B3,B,GPT-5.1,Chinese,GPT-ZH,12,non_ossified,False,False,False,False,False
jingpo_kachin,B3,B,GPT-5.1,English,GPT-EN,12,non_ossified,False,False,False,False,False
jingpo_kachin,B3,B,DeepSeek-V3.2,Chinese,DS-ZH,8,P2_P3_framing_failure,False,False,True,False,False
jingpo_kachin,B3,B,DeepSeek-V3.2,English,DS-EN,12,P2_P3_framing_failure,False,False,True,False,False
jingpo_kachin,C1,C,GPT-5.1,Chinese,GPT-ZH,7,P4_P5_other,False,False,False,True,False
jingpo_kachin,C1,C,GPT-5.1,English,GPT-EN,11,non_ossified,False,False,False,False,False
jingpo_kachin,C1,C,DeepSeek-V3.2,Chinese,DS-ZH,9,non_ossified,False,False,False,False,False
jingpo_kachin,C1,C,DeepSeek-V3.2,English,DS-EN,11,non_ossified,False,False,False,False,False
jingpo_kachin,C2,C,GPT-5.1,Chinese,GPT-ZH,11,non_ossified,False,False,False,False,False
jingpo_kachin,C2,C,GPT-5.1,English,GPT-EN,11,non_ossified,False,False,False,False,False
jingpo_kachin,C2,C,DeepSeek-V3.2,Chinese,DS-ZH,4,P2_P3_framing_failure,True,True,False,True,False
jingpo_kachin,C2,C,DeepSeek-V3.2,English,DS-EN,11,non_ossified,False,False,False,False,False
jingpo_kachin,D1,D,GPT-5.1,Chinese,GPT-ZH,12,non_ossified,False,False,False,False,False
jingpo_kachin,D1,D,GPT-5.1,English,GPT-EN,12,non_ossified,False,False,False,False,False
jingpo_kachin,D1,D,DeepSeek-V3.2,Chinese,DS-ZH,12,non_ossified,False,False,False,False,False
jingpo_kachin,D1,D,DeepSeek-V3.2,English,DS-EN,11,non_ossified,False,False,False,False,False
jingpo_kachin,D2,D,GPT-5.1,Chinese,GPT-ZH,4,non_ossified,False,False,False,False,False
jingpo_kachin,D2,D,GPT-5.1,English,GPT-EN,4,non_ossified,False,False,False,False,False
jingpo_kachin,D2,D,DeepSeek-V3.2,Chinese,DS-ZH,4,non_ossified,False,False,False,False,False
jingpo_kachin,D2,D,DeepSeek-V3.2,English,DS-EN,5,non_ossified,False,False,False,False,False
jingpo_kachin,D3,D,GPT-5.1,Chinese,GPT-ZH,11,non_ossified,False,False,False,False,False
jingpo_kachin,D3,D,GPT-5.1,English,GPT-EN,11,non_ossified,False,False,False,False,False
jingpo_kachin,D3,D,DeepSeek-V3.2,Chinese,DS-ZH,8,non_ossified,False,False,False,False,False
jingpo_kachin,D3,D,DeepSeek-V3.2,English,DS-EN,11,non_ossified,False,False,False,False,False
lahu,A1,A,GPT-5.1,Chinese,GPT-ZH,5,non_ossified,False,False,False,False,False
lahu,A1,A,GPT-5.1,English,GPT-EN,9,non_ossified,False,False,False,False,False
lahu,A1,A,DeepSeek-V3.2,Chinese,DS-ZH,5,P2_P3_framing_failure,True,False,True,False,False
lahu,A1,A,DeepSeek-V3.2,English,DS-EN,8,P2_P3_framing_failure,True,False,True,False,False
lahu,A2,A,GPT-5.1,Chinese,GPT-ZH,4,non_ossified,False,False,False,False,False
lahu,A2,A,GPT-5.1,English,GPT-EN,5,non_ossified,False,False,False,False,False
lahu,A2,A,DeepSeek-V3.2,Chinese,DS-ZH,4,P2_P3_framing_failure,False,False,True,False,False
lahu,A2,A,DeepSeek-V3.2,English,DS-EN,6,non_ossified,False,False,False,False,False
lahu,A3,A,GPT-5.1,Chinese,GPT-ZH,5,P2_P3_framing_failure,True,False,True,False,False
lahu,A3,A,GPT-5.1,English,GPT-EN,8,non_ossified,False,False,False,False,False
lahu,A3,A,DeepSeek-V3.2,Chinese,DS-ZH,5,P2_P3_framing_failure,True,False,True,False,False
lahu,A3,A,DeepSeek-V3.2,English,DS-EN,7,non_ossified,False,False,False,False,False
lahu,B1,B,GPT-5.1,Chinese,GPT-ZH,12,non_ossified,False,False,False,False,False
lahu,B1,B,GPT-5.1,English,GPT-EN,12,non_ossified,False,False,False,False,False
lahu,B1,B,DeepSeek-V3.2,Chinese,DS-ZH,12,non_ossified,False,False,False,False,False
lahu,B1,B,DeepSeek-V3.2,English,DS-EN,11,non_ossified,False,False,False,False,False
lahu,B2,B,GPT-5.1,Chinese,GPT-ZH,11,P4_P5_other,False,False,False,False,True
lahu,B2,B,GPT-5.1,English,GPT-EN,11,non_ossified,False,False,False,False,False
lahu,B2,B,DeepSeek-V3.2,Chinese,DS-ZH,11,P4_P5_other,False,False,False,False,True
lahu,B2,B,DeepSeek-V3.2,English,DS-EN,11,non_ossified,False,False,False,False,False
lahu,B3,B,GPT-5.1,Chinese,GPT-ZH,11,non_ossified,False,False,False,False,False
lahu,B3,B,GPT-5.1,English,GPT-EN,9,non_ossified,False,False,False,False,False
lahu,B3,B,DeepSeek-V3.2,Chinese,DS-ZH,11,P2_P3_framing_failure,False,False,True,False,False
lahu,B3,B,DeepSeek-V3.2,English,DS-EN,11,non_ossified,False,False,False,False,False
lahu,C1,C,GPT-5.1,Chinese,GPT-ZH,7,P4_P5_other,False,False,False,True,False
lahu,C1,C,GPT-5.1,English,GPT-EN,9,non_ossified,False,False,False,False,False
lahu,C1,C,DeepSeek-V3.2,Chinese,DS-ZH,7,P4_P5_other,False,False,False,True,False
lahu,C1,C,DeepSeek-V3.2,English,DS-EN,11,non_ossified,False,False,False,False,False
lahu,C2,C,GPT-5.1,Chinese,GPT-ZH,11,non_ossified,False,False,False,False,False
lahu,C2,C,GPT-5.1,English,GPT-EN,11,non_ossified,False,False,False,False,False
lahu,C2,C,DeepSeek-V3.2,Chinese,DS-ZH,7,P2_P3_framing_failure,True,True,True,False,False
lahu,C2,C,DeepSeek-V3.2,English,DS-EN,11,non_ossified,False,False,False,False,False
lahu,D1,D,GPT-5.1,Chinese,GPT-ZH,11,P2_P3_framing_failure,True,False,True,False,False
lahu,D1,D,GPT-5.1,English,GPT-EN,11,non_ossified,False,False,False,False,False
lahu,D1,D,DeepSeek-V3.2,Chinese,DS-ZH,7,P2_P3_framing_failure,True,False,True,False,False
lahu,D1,D,DeepSeek-V3.2,English,DS-EN,11,non_ossified,False,False,False,False,False
lahu,D2,D,GPT-5.1,Chinese,GPT-ZH,4,non_ossified,False,False,False,False,False
lahu,D2,D,GPT-5.1,English,GPT-EN,7,non_ossified,False,False,False,False,False
lahu,D2,D,DeepSeek-V3.2,Chinese,DS-ZH,4,P1_pure_lock,True,False,False,False,False
lahu,D2,D,DeepSeek-V3.2,English,DS-EN,8,non_ossified,False,False,False,False,False
lahu,D3,D,GPT-5.1,Chinese,GPT-ZH,7,non_ossified,False,False,False,False,False
lahu,D3,D,GPT-5.1,English,GPT-EN,7,non_ossified,False,False,False,False,False
lahu,D3,D,DeepSeek-V3.2,Chinese,DS-ZH,4,non_ossified,False,False,False,False,False
lahu,D3,D,DeepSeek-V3.2,English,DS-EN,7,non_ossified,False,False,False,False,False
lisu,A1,A,GPT-5.1,Chinese,GPT-ZH,6,P2_P3_framing_failure,True,False,True,False,False
lisu,A1,A,GPT-5.1,English,GPT-EN,8,non_ossified,False,False,False,False,False
lisu,A1,A,DeepSeek-V3.2,Chinese,DS-ZH,5,P2_P3_framing_failure,True,False,True,False,False
lisu,A1,A,DeepSeek-V3.2,English,DS-EN,8,non_ossified,False,False,False,False,False
lisu,A2,A,GPT-5.1,Chinese,GPT-ZH,4,non_ossified,False,False,False,False,False
lisu,A2,A,GPT-5.1,English,GPT-EN,4,non_ossified,False,False,False,False,False
lisu,A2,A,DeepSeek-V3.2,Chinese,DS-ZH,4,non_ossified,False,False,False,False,False
lisu,A2,A,DeepSeek-V3.2,English,DS-EN,6,non_ossified,False,False,False,False,False
lisu,A3,A,GPT-5.1,Chinese,GPT-ZH,5,P2_P3_framing_failure,True,False,True,False,False
